Insgesamte Daten;;;;;;;;;;Schraubendaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schrittdaten Schritt 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schrittdaten Schritt 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schrittdaten Schritt 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schrittdaten Schritt 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verschraubungsart;Name der virtuellen Station;Eindeutige Werkzeugkennung;FIN;Gesamtstatus;Gesamtstatus zusätzl. Info.;Datum und Uhrzeit;Name der Chargensequenz;Gruppensequenzzähler;Gruppenzählung;Status;Statusinfo;Verschraubungsprogramm;Anhaltefehler;Fehler;Ausfall-Schraubstufe;Verstrichene Zeit [s];Sollmoment [Nm];Abschließender Drehmoment [Nm];Drehmoment-Untergrenze [Nm];Drehmoment-Obergrenze [Nm];Zeit für Enddrehmoment [ms];Sollwinkel [Grad];Endwinkel [Grad];Start Endwinkel [Grad];Winkel-Untergrenze [Grad];Winkel-Obergrenze [Grad];Istwinkelausgleich [Grad];Strom Monitoring [A];Strom low limit [A];Strom high limit [A];Strom bei Abschaltung [A];Einschraubwinkel [Grad];Einschraubwinkel low limit [Grad];Einschraubwinkel high limit [Grad];Einschraubwinkel Torque trigger [Nm];Einschraubzeit abgeschlossen [ms];Selbstschneide-Drehmoment [Nm];Selbstschneide-Drehmoment low limit [Nm];Selbstschneide-Drehmoment high limit [Nm];Sicherungsmoment [Nm];Sicherungsmoment low limit [Nm];Sicherungsmoment high limit [Nm];Drehmomentdifferenz [Nm];Korrelationsfaktor Weiterzugsmoment [%];Anzahl Pulse;Zieltext;Monitor Drehmoment [Nm];Monitor Winkelüberwachung [Grad];Schraubstufennummer;Schritttyp;Schrittkategorie;Pfad;Gemeldeter Versuch;Status;Anhaltefehler;Winkel [Grad];Spitzendrehmoment [Nm];Abschalt-Drehmoment [Nm];Drehmomentanstieg [Nm/Grad];Abweichung Drehmomentanstieg [Nm];Gewindeausriss [Grad];Verstrichene Zeit [s];Spitzendrehmoment im Drehwinkelfenster [Nm];Niedrigstes Drehmoment im Drehwinkelfenster [Nm];Drehmoment nach Anzeige hoch [Nm];Winkel bei Drehmoment nach Anzeige hoch [Grad];Drehmoment nach Anzeige niedrig [Nm];Winkel bei Drehmoment nach Anzeige niedrig [Grad];Winkel für Streckgrenze [Grad];Spitzengradient [Nm/Grad];Streckgrenzengradient [Nm/Grad];Streckgrenzen-Drehmoment [Nm];Sicherungsmoment [Nm];Abschaltstrom [A];Drehmomentgradient [Nm/Grad];Klick-Drehmoment [Nm];Klick-Winkel [Grad];Pulszahl;Fehler;Schraubstufennummer;Schritttyp;Schrittkategorie;Pfad;Gemeldeter Versuch;Status;Anhaltefehler;Winkel [Grad];Spitzendrehmoment [Nm];Abschalt-Drehmoment [Nm];Drehmomentanstieg [Nm/Grad];Abweichung Drehmomentanstieg [Nm];Gewindeausriss [Grad];Verstrichene Zeit [s];Spitzendrehmoment im Drehwinkelfenster [Nm];Niedrigstes Drehmoment im Drehwinkelfenster [Nm];Drehmoment nach Anzeige hoch [Nm];Winkel bei Drehmoment nach Anzeige hoch [Grad];Drehmoment nach Anzeige niedrig [Nm];Winkel bei Drehmoment nach Anzeige niedrig [Grad];Winkel für Streckgrenze [Grad];Spitzengradient [Nm/Grad];Streckgrenzengradient [Nm/Grad];Streckgrenzen-Drehmoment [Nm];Sicherungsmoment [Nm];Abschaltstrom [A];Drehmomentgradient [Nm/Grad];Klick-Drehmoment [Nm];Klick-Winkel [Grad];Pulszahl;Fehler;Schraubstufennummer;Schritttyp;Schrittkategorie;Pfad;Gemeldeter Versuch;Status;Anhaltefehler;Winkel [Grad];Spitzendrehmoment [Nm];Abschalt-Drehmoment [Nm];Drehmomentanstieg [Nm/Grad];Abweichung Drehmomentanstieg [Nm];Gewindeausriss [Grad];Verstrichene Zeit [s];Spitzendrehmoment im Drehwinkelfenster [Nm];Niedrigstes Drehmoment im Drehwinkelfenster [Nm];Drehmoment nach Anzeige hoch [Nm];Winkel bei Drehmoment nach Anzeige hoch [Grad];Drehmoment nach Anzeige niedrig [Nm];Winkel bei Drehmoment nach Anzeige niedrig [Grad];Winkel für Streckgrenze [Grad];Spitzengradient [Nm/Grad];Streckgrenzengradient [Nm/Grad];Streckgrenzen-Drehmoment [Nm];Sicherungsmoment [Nm];Abschaltstrom [A];Drehmomentgradient [Nm/Grad];Klick-Drehmoment [Nm];Klick-Winkel [Grad];Pulszahl;Fehler;Schraubstufennummer;Schritttyp;Schrittkategorie;Pfad;Gemeldeter Versuch;Status;Anhaltefehler;Winkel [Grad];Spitzendrehmoment [Nm];Abschalt-Drehmoment [Nm];Drehmomentanstieg [Nm/Grad];Abweichung Drehmomentanstieg [Nm];Gewindeausriss [Grad];Verstrichene Zeit [s];Spitzendrehmoment im Drehwinkelfenster [Nm];Niedrigstes Drehmoment im Drehwinkelfenster [Nm];Drehmoment nach Anzeige hoch [Nm];Winkel bei Drehmoment nach Anzeige hoch [Grad];Drehmoment nach Anzeige niedrig [Nm];Winkel bei Drehmoment nach Anzeige niedrig [Grad];Winkel für Streckgrenze [Grad];Spitzengradient [Nm/Grad];Streckgrenzengradient [Nm/Grad];Streckgrenzen-Drehmoment [Nm];Sicherungsmoment [Nm];Abschaltstrom [A];Drehmomentgradient [Nm/Grad];Klick-Drehmoment [Nm];Klick-Winkel [Grad];Pulszahl;Fehler;
Einzelwerkzeug;Station 4;4230 2890 80H4380002;21/R4-01-1021/S21-11    ;Verschraubung NIO;;20.08.2025 11:43:42;;;;Verschraubung NIO;Endwinkel niedrig;11.FOT-V L - 21;Winkel-Grenzwert nicht erreicht;Winkel-Grenzwert nicht erreicht ;4;0,29;1,80;1,87;1,60;2,00;;;1,8;1,1;3,0;;;;;;;;;;;;;;;;;;;;;;;;1;Anziehen bis Winkel;Softstart;;;IO;;90,1;2,92;0,00;0,000;0,00;0,0;0,17;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;2;Einschrauben;Eindrehen;;;IO;;0,0;2,94;0,00;0,000;0,00;0,0;0,00;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;3;Warten;;;;IO;;0,0;0,00;0,00;0,000;0,00;0,0;0,10;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;4;Anziehen bis Drehmoment;Endwert;;;NIO;Winkel-Grenzwert nicht erreicht;1,8;1,87;0,00;0,000;0,00;0,0;0,02;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;Winkel-Grenzwert nicht erreicht ;
Einzelwerkzeug;Station 4;4230 2890 80H4380002;01/R4-01-1001/S01-27    ;Verschraubung IO;;14.08.2025 15:28:16;;;;Verschraubung IO;Verschraubung IO;27.FAT R - 01;;;;1,42;1,40;1,41;1,25;1,55;;;51,5;0,9;3,0;;;;;;;;;;;;;;;;;;;;;;;;1;Anziehen bis Winkel;Softstart;;;IO;;90,1;0,07;0,00;0,000;0,00;0,0;0,13;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;2;Einschrauben;Eindrehen;;;IO;;309,7;0,85;0,00;0,000;0,00;0,0;0,97;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;3;Warten;;;;IO;;0,0;0,00;0,00;0,000;0,00;0,0;0,10;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;4;Anziehen bis Drehmoment;Endwert;;;IO;;51,5;1,41;0,00;0,000;0,00;0,0;0,22;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;
Einzelwerkzeug;Station 4;4230 2890 80H4380002;02/R4-01-1002/S02-26    ;Verschraubung IO;;14.08.2025 15:28:13;;;;Verschraubung IO;Verschraubung IO;26.FAT R - 02;;;;1,30;1,40;1,43;1,25;1,55;;;11,0;0,9;3,0;;;;;;;;;;;;;;;;;;;;;;;;1;Anziehen bis Winkel;Softstart;;;IO;;90,0;0,09;0,00;0,000;0,00;0,0;0,13;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;2;Einschrauben;Eindrehen;;;IO;;50,7;1,02;0,00;0,000;0,00;0,0;0,98;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;3;Warten;;;;IO;;0,0;0,00;0,00;0,000;0,00;0,0;0,10;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;4;Anziehen bis Drehmoment;Endwert;;;IO;;11,0;1,43;0,00;0,000;0,00;0,0;0,08;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;
Einzelwerkzeug;Station 4;4230 2890 80H4380002;10/R4-01-1010/S10-25    ;Verschraubung IO;;14.08.2025 15:28:09;;;;Verschraubung IO;Verschraubung IO;25.FAT R - 10;;;;1,21;1,40;1,42;1,25;1,55;;;8,5;0,9;3,0;;;;;;;;;;;;;;;;;;;;;;;;1;Anziehen bis Winkel;Softstart;;;IO;;90,0;0,05;0,00;0,000;0,00;0,0;0,13;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;2;Einschrauben;Eindrehen;;;IO;;17,3;1,05;0,00;0,000;0,00;0,0;0,91;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;3;Warten;;;;IO;;0,0;0,00;0,00;0,000;0,00;0,0;0,10;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;4;Anziehen bis Drehmoment;Endwert;;;IO;;8,5;1,42;0,00;0,000;0,00;0,0;0,08;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;
Einzelwerkzeug;Station 4;4230 2890 80H4380002;03/R4-01-1003/S03-24    ;Verschraubung IO;;14.08.2025 15:28:06;;;;Verschraubung IO;Verschraubung IO;24.FAT R - 03;;;;1,38;1,40;1,43;1,25;1,55;;;16,4;0,7;3,0;;;;;;;;;;;;;;;;;;;;;;;;1;Anziehen bis Winkel;Softstart;;;IO;;90,0;0,09;0,00;0,000;0,00;0,0;0,13;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;2;Einschrauben;Eindrehen;;;IO;;120,9;0,93;0,00;0,000;0,00;0,0;1,05;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;3;Warten;;;;IO;;0,0;0,00;0,00;0,000;0,00;0,0;0,10;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;4;Anziehen bis Drehmoment;Endwert;;;IO;;16,4;1,43;0,00;0,000;0,00;0,0;0,10;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;
Einzelwerkzeug;Station 4;4230 2890 80H4380002;23/R4-01-1023/S23-23    ;Verschraubung IO;;14.08.2025 15:28:02;;;;Verschraubung IO;Verschraubung IO;23.FAT R - 23;;;;1,29;1,80;1,83;1,60;2,00;;;26,0;0,7;3,0;;;;;;;;;;;;;;;;;;;;;;;;1;Anziehen bis Winkel;Softstart;;;IO;;90,1;0,10;0,00;0,000;0,00;0,0;0,13;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;2;Einschrauben;Eindrehen;;;IO;;69,9;0,88;0,00;0,000;0,00;0,0;0,92;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;3;Warten;;;;IO;;0,0;0,00;0,00;0,000;0,00;0,0;0,10;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;4;Anziehen bis Drehmoment;Endwert;;;IO;;26,0;1,83;0,00;0,000;0,00;0,0;0,14;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;
Einzelwerkzeug;Station 4;4230 2890 80H4380002;11/R4-01-1011/S11-22    ;Verschraubung IO;;14.08.2025 15:27:58;;;;Verschraubung IO;Verschraubung IO;22.FAT R - 11;;;;1,37;1,40;1,40;1,25;1,55;;;29,2;0,7;3,0;;;;;;;;;;;;;;;;;;;;;;;;1;Anziehen bis Winkel;Softstart;;;IO;;90,1;0,09;0,00;0,000;0,00;0,0;0,13;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;2;Einschrauben;Eindrehen;;;IO;;31,2;0,80;0,00;0,000;0,00;0,0;1,00;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;3;Warten;;;;IO;;0,0;0,00;0,00;0,000;0,00;0,0;0,10;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;4;Anziehen bis Drehmoment;Endwert;;;IO;;29,2;1,40;0,00;0,000;0,00;0,0;0,14;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;
Einzelwerkzeug;Station 4;4230 2890 80H4380002;12/R4-01-1012/S12-21    ;Verschraubung IO;;14.08.2025 15:27:55;;;;Verschraubung IO;Verschraubung IO;21.FAT R - 12;;;;1,35;1,40;1,43;1,25;1,55;;;16,3;0,7;3,0;;;;;;;;;;;;;;;;;;;;;;;;1;Anziehen bis Winkel;Softstart;;;IO;;90,1;0,05;0,00;0,000;0,00;0,0;0,13;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;2;Einschrauben;Eindrehen;;;IO;;38,0;0,94;0,00;0,000;0,00;0,0;1,01;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;3;Warten;;;;IO;;0,0;0,00;0,00;0,000;0,00;0,0;0,10;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;4;Anziehen bis Drehmoment;Endwert;;;IO;;16,3;1,43;0,00;0,000;0,00;0,0;0,10;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;
Einzelwerkzeug;Station 4;4230 2890 80H4380002;21/R4-01-1021/S21-11    ;Verschraubung IO;;13.08.2025 10:05:23;;;;Verschraubung IO;Verschraubung IO;11.FOT-V L - 21;;;;1,43;1,80;1,81;1,62;1,98;;;60,0;0,9;0,0;99999,0;;;;;;;;;;;;;;;;;;;;;;;1;Anziehen bis Winkel;Softstart;;;IO;;90,0;0,07;0,00;0,000;0,00;0,0;0,13;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;2;Einschrauben;Eindrehen;;;IO;;896,6;0,86;0,00;0,000;0,00;0,0;0,94;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;3;Warten;;;;IO;;0,0;0,00;0,00;0,000;0,00;0,0;0,10;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;4;Anziehen bis Drehmoment;Endwert;;;IO;;60,0;1,81;0,00;0,000;0,00;0,0;0,26;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;
Einzelwerkzeug;Station 4;4230 2890 80H4380002;06/R4-01-1006/S06-10    ;Verschraubung IO;;13.08.2025 10:05:19;;;;Verschraubung IO;Verschraubung IO;10.FOT-V L - 06;;;;1,93;1,40;1,41;1,26;1,54;;;368,3;0,7;3,0;720,0;;;;;;;;;;;;;;;;;;;;;;;1;Anziehen bis Winkel;Softstart;;;IO;;90,1;0,10;0,00;0,000;0,00;0,0;0,13;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;2;Einschrauben;Eindrehen;;;IO;;459,7;0,76;0,00;0,000;0,00;0,0;0,69;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;3;Warten;;;;IO;;0,0;0,00;0,00;0,000;0,00;0,0;0,10;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;4;Anziehen bis Drehmoment;Endwert;;;IO;;368,3;1,41;0,00;0,000;0,00;0,0;1,00;0,00;0,00;0,00;0,0;0,00;0,0;0,0;0,000;0,000;0,00;0,00;0,00;0,000;0,00;0,0;0;;
